Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
Castropol,Casa,Usado,1 a 8 años,200.0,200.0,6.0,4,4,2,1,CASTROPOL,CASTROPOL,missing
Vía Las Palmas,Casa,Buen estado,16 a 30 años,323.0,323.0,6.0,6,5,6,1,VIA LAS PALMAS,VIA LAS PALMAS,1
El Poblado,Apartamento,Usado,16 a 30 años,100.0,100.0,5.0,2,3,1,7,EL POBLADO,EL POBLADO,missing
Laureles,Apartamento,Usado,más de 30 años,98.0,98.0,5.0,2,3,1,5,LAURELES,LAURELES,missing
San Antonio de Prado,Apartamento,Usado,9 a 15 años,45.0,45.0,3.0,1,2,0,4,SAN ANTONIO DE PRADO,SAN ANTONIO DE PRADO,missing
Loma de los bernal,Apartamento,Usado,1 a 8 años,120.0,120.0,5.0,2,2,1,4,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,missing
El Poblado,Casa,Usado,16 a 30 años,250.0,250.0,6.0,3,5,2,1,EL POBLADO,EL POBLADO,1
La milagrosa,Apartamento,Usado,16 a 30 años,37.0,37.0,3.0,1,2,0,15,LA MILAGROSA,LA MILAGROSA,3+
Belen La Palma,Apartamento,Usado,16 a 30 años,85.0,85.0,4.0,3,2,1,9,BELEN LA PALMA,BELEN LA PALMA,3+
Las palmas,Apartamento,Usado,9 a 15 años,75.0,75.0,6.0,3,2,1,8,LAS PALMAS,LAS PALMAS,missing
El Poblado,Apartamento,Buen estado,16 a 30 años,162.0,162.0,4.0,4,3,2,5,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,9 a 15 años,97.0,97.0,6.0,3,2,2,10,EL POBLADO,EL POBLADO,missing
San german,Apartamento,Usado,1 a 8 años,102.4,102.4,4.0,2,3,1,5,SAN GERMAN,SAN GERMAN,missing
Calasanz,Apartamento,Nuevo,1 a 8 años,70.0,70.0,5.0,2,3,1,15,CALASANZ,CALASANZ,3+
Loma del Indio,Apartamento,Usado,1 a 8 años,70.0,70.0,6.0,2,2,1,10,LOMA DEL INDIO,LOMA DEL INDIO,missing
Belen La Palma,Apartaestudio,Usado,16 a 30 años,53.0,53.0,5.0,1,1,0,4,BELEN LA PALMA,BELEN LA PALMA,3+
San diego,Apartamento,Usado,16 a 30 años,80.0,80.0,4.0,2,3,1,3,SAN DIEGO,SAN DIEGO,3+
Laureles,Apartamento,Usado,1 a 8 años,90.0,90.0,4.0,2,2,1,8,LAURELES,LAURELES,missing
El Poblado,Apartamento,Usado,16 a 30 años,121.0,121.0,5.0,3,3,2,11,EL POBLADO,EL POBLADO,missing
El Poblado,Apartamento,Usado,1 a 8 años,90.0,90.0,6.0,2,2,0,18,EL POBLADO,EL POBLADO,3+
Los pinos,Apartaestudio,Usado,1 a 8 años,37.0,37.0,5.0,1,1,0,2,LOS PINOS,LOS PINOS,missing
El Poblado,Apartamento,Buen estado,16 a 30 años,169.0,169.0,6.0,4,3,0,4,EL POBLADO,EL POBLADO,3+
La candelaria,Apartamento,Usado,9 a 15 años,73.0,73.0,4.0,2,2,0,10,LA CANDELARIA,LA CANDELARIA,missing
Los alcazares,Apartaestudio,Usado,menor a 1 año,40.0,40.0,3.0,1,1,0,2,LOS ALCAZARES,OTROS,missing
El Poblado,Apartamento,Usado,16 a 30 años,205.0,205.0,6.0,5,3,3,6,EL POBLADO,EL POBLADO,3+
Alejandria,Apartamento,Usado,16 a 30 años,150.0,150.0,6.0,4,3,2,9,ALEJANDRIA,ALEJANDRIA,3+
San joaquin,Apartamento,Usado,16 a 30 años,98.0,98.0,4.0,2,3,0,3,SAN JOAQUIN,SAN JOAQUIN,3+
Las Lomitas,Apartamento,Usado,1 a 8 años,65.0,65.0,3.0,2,2,0,5,LAS LOMITAS,OTROS,missing
El Poblado,Apartamento,Usado,16 a 30 años,126.0,126.0,6.0,2,3,1,6,EL POBLADO,EL POBLADO,3+
La candelaria,Apartamento,Usado,16 a 30 años,140.0,140.0,3.0,3,3,1,14,LA CANDELARIA,LA CANDELARIA,3+
Loma de los Gonzalez,Apartamento,Usado,1 a 8 años,70.0,70.0,5.0,2,3,1,3,LOMA DE LOS GONZALEZ,LOMA DE LOS GONZALEZ,missing
Las palmas,Apartamento,Usado,9 a 15 años,141.0,141.0,6.0,2,3,2,3,LAS PALMAS,LAS PALMAS,missing
El Poblado,Apartamento,Usado,16 a 30 años,85.0,85.0,4.0,2,3,1,7,EL POBLADO,EL POBLADO,missing
San diego,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,2,3,1,3,SAN DIEGO,SAN DIEGO,missing
Belén,Apartamento,Usado,9 a 15 años,60.0,60.0,4.0,2,3,0,4,BELEN,BELEN,3+
El Poblado,Apartamento,Usado,16 a 30 años,55.0,55.0,5.0,1,2,1,10,EL POBLADO,EL POBLADO,3+
